frame,time_s,motion_energy
0,0.0,
1,0.016666830406310614,0.8817977905273438
2,0.03333366081262123,0.7692466378211975
3,0.050000491218931846,0.516907274723053
4,0.06666732162524246,0.05863780900835991
5,0.08333415203155307,0.3746139109134674
6,0.10000098243786369,0.5556635856628418
7,0.11666781284417431,0.11833947151899338
8,0.1333346432504849,0.4032007157802582
9,0.15000147365679553,0.36753299832344055
10,0.16666830406310615,0.05033288523554802
11,0.18333513446941677,0.04400695487856865
12,0.20000196487572738,0.19276350736618042
13,0.216668795282038,0.1189228743314743
14,0.23333562568834862,0.09515202790498734
15,0.2500024560946592,0.00905991904437542
16,0.2666692865009698,0.0098149124532938
17,0.28333611690728044,0.006348806899040937
18,0.30000294731359106,0.025486741214990616
19,0.3166697777199017,0.03986593335866928
20,0.3333366081262123,0.00813333597034216
21,0.3500034385325229,0.09916722029447556
22,0.36667026893883353,0.01264041755348444
23,0.38333709934514415,0.016243794932961464
24,0.40000392975145477,0.01059278380125761
25,0.4166707601577654,0.0009151433478109539
26,0.433337590564076,0.0
27,0.4500044209703866,0.014264796860516071
28,0.46667125137669724,0.02043057419359684
29,0.48333808178300786,0.05870644375681877
30,0.5000049121893184,0.09070214629173279
31,0.5166717425956291,0.052060216665267944
32,0.5333385730019397,0.03438651189208031
33,0.5500054034082503,0.0072639500722289085
34,0.5666722338145609,0.0
35,0.5833390642208716,0.016850076615810394
36,0.6000058946271821,0.011610881425440311
37,0.6166727250334928,0.0
38,0.6333395554398034,0.0
39,0.650006385846114,0.00011439291847636923
40,0.6666732162524246,0.0
41,0.6833400466587353,0.0
42,0.7000068770650458,0.0
43,0.7166737074713564,0.0
44,0.7333405378776671,0.006955089513212442
45,0.7500073682839776,0.005445102695375681
46,0.7666741986902883,0.0016358187422156334
47,0.7833410290965989,0.0008007503929547966
48,0.8000078595029095,0.010444073006510735
49,0.8166746899092201,0.045619893819093704
50,0.8333415203155308,0.06388844549655914
51,0.8500083507218413,0.053387172520160675
52,0.866675181128152,0.023359034210443497
53,0.8833420115344626,0.06765197217464447
54,0.9000088419407732,0.0
55,0.9166756723470838,0.0
56,0.9333425027533945,0.0
57,0.950009333159705,0.0
58,0.9666761635660157,0.0
59,0.9833429939723263,0.0
60,1.0000098243786368,0.0
61,1.0166766547849475,0.0
62,1.0333434851912582,0.0
63,1.0500103155975689,0.0
64,1.0666771460038793,0.0
65,1.08334397641019,0.0
66,1.1000108068165007,0.0
67,1.116677637222811,0.005559495650231838
68,1.1333444676291218,0.0035004231613129377
69,1.1500112980354324,0.03323114290833473
70,1.1666781284417431,0.0053421491757035255
71,1.1833449588480536,0.002882701577618718
72,1.2000117892543642,0.011668077670037746
73,1.216678619660675,0.04430437833070755
74,1.2333454500669856,0.0
75,1.250012280473296,0.046443525701761246
76,1.2666791108796067,0.09083941578865051
77,1.2833459412859174,0.0
78,1.300012771692228,0.00036605732748284936
79,1.3166796020985385,0.00718387495726347
80,1.3333464325048492,0.0
81,1.3500132629111599,0.0
82,1.3666800933174705,0.0003546180378179997
83,1.383346923723781,0.0
84,1.4000137541300917,0.0
85,1.4166805845364023,0.0008579468703828752
86,1.4333474149427128,0.0
87,1.4500142453490235,0.0
88,1.4666810757553341,0.0
89,1.4833479061616448,0.001853165216743946
90,1.5000147365679553,0.00022878583695273846
91,1.516681566974266,0.08418174833059311
92,1.5333483973805766,0.0031343658920377493
93,1.5500152277868873,0.00011439291847636923
94,1.5666820581931977,0.0
95,1.5833488885995084,0.01773090288043022
96,1.600015719005819,0.019412478432059288
97,1.6166825494121297,0.0015557436272501945
98,1.6333493798184402,0.001601500785909593
99,1.6500162102247509,0.009860669262707233
100,1.6666830406310615,0.041101373732089996
101,1.6833498710373722,0.03718913719058037
102,1.7000167014436827,0.015740465372800827
103,1.7166835318499933,0.0
104,1.733350362256304,0.0
105,1.7500171926626147,0.0
106,1.7666840230689251,0.0
107,1.7833508534752358,0.0
108,1.8000176838815465,0.0
109,1.816684514287857,0.0
110,1.8333513446941676,0.0
111,1.8500181751004783,0.0032373196445405483
112,1.866685005506789,0.040540847927331924
113,1.8833518359130994,0.03141229599714279
114,1.90001866631941,0.004918895196169615
115,1.9166854967257207,0.007881672121584415
116,1.9333523271320314,0.0003431787481531501
117,1.9500191575383419,0.004838820546865463
118,1.9666859879446525,0.04074675589799881
119,1.9833528183509632,0.0
120,2.0000196487572737,0.0036720125935971737
121,2.0166864791635843,0.004804502706974745
122,2.033353309569895,0.04695829376578331
